,Author,Book,Filename,Optional years exist,Translated,Year,Years (optional),Scraped Year,Scraped Author
9549,Joseph Conrad,Notes on Life and Letters,b'1143.txt',0,0,1921,1921,1921,
9550,Julia De Wolf Addison,Arts and Crafts in the Middle Ages,b'18212-8.txt',0,0,1921,,1921,
9551,Katherine Shortall,Where the Sabots Clatter Again,b'13048-8.txt',0,0,1921,1921,,1919
9552,L. Lamprey,Days of the Discoverers,b'18038-8.txt',0,1,1921,1921,,1978
9553,L. M. Gilbreth,The Psychology of Management,b'16256-8.txt',0,0,1921,1921,,
9554,Laura Lee Hope,The Story of a Plush Bear,b'17064.txt',0,0,1921,1921,,1930
9555,Laura Lee Hope,The Story of a Nodding Donkey,b'17679.txt',0,0,1921,1921,1921,
9556,Laurence Housman,Angels & Ministers,b'11020-8.txt',0,0,1921,1891,1921,
9557,Lebbeus Mitchell,The Circus Comes to Town,b'16991.txt',0,0,1921,1921,1921,
9558,Lewis E. Theiss,The Young Wireless Operator--As a Fire Patrol,b'12839-8.txt',0,0,1921,1921,,1955
9559,"Lord Dunsany [Dunsany, Edward John Moreton Drax Plunkett, Baron]",If,b'1311.txt',0,0,1921,,1921,
9560,Louis Dodge,Everychild,b'17521.txt',0,0,1921,1921,,1916
9561,Louis Joseph Vance,Alias The Lone Wolf,b'10327-8.txt',0,0,1921,1921,,1907
9562,Louis Joseph Vance,Red Masquerade,b'10496-8.txt',0,0,1921,1921,,1907
9563,Lucy Fitch Perkins,The Puritan Twins,b'16644.txt',0,0,1921,,1921,
9564,Lytton Strachey,Queen Victoria,b'1265.txt',1,0,1921,1921 1817,1921,
9565,Margaret E. Sangster,The Island of Faith,b'13282.txt',0,0,1921,1921,,1909
9566,Margaret Pedler,The Splendid Folly,b'16427-8.txt',0,0,1921,1921,1921,
9567,Margaret Pedler,The Moon out of Reach,b'16497-8.txt',0,0,1921,1921,,1921
9568,Margaret Pedler,The Lamp of Fate,b'3824.txt',0,0,1921,,1921,
9569,Margaret Rebecca Piper,Wild Wings,b'11165-8.txt',0,0,1921,1921,,
9570,Marie Adelaide Belloc Lowndes,What Timmy Did,b'17381-8.txt',0,0,1921,1922,1921,
9571,Marie Carmichael Stopes,Radiant Motherhood,b'45711-0.txt',0,1,1921,,1921,
9572,Marsden Hartley,Adventures in the Arts,b'20921-8.txt',0,0,1921,1921,1921,
